Chunk ID,Source File,Extracted Text
c3b1deb0-53eb-11f1-bd43-c77e38e89e5a,0 - Enterprise Architecture Architecting the Enterprise.pdf,"Enterprise Architecture = 
Architecting the Enterprise?
Gregor HohpeCTO Office, Google Cloud 
Chief Architect, Allianz SE"
c3b1deb1-53eb-11f1-bd43-c77e38e89e5a,0 - Enterprise Architecture Architecting the Enterprise.pdf,"Enterprise Architecture = 
Architecting the Enterprise?
Architects in the enterprise are often regarded as ivory tower residents who bestow their utopian plans upon 
project teams in the form of colorful diagrams that bear little to no resemblance to reality. The most 
suspicious in this group are often the “Enterprise Architects” who are perceived as being furthest from actual 
technical problems.
However, large-scale IT operation and transformation require transparency across hundreds or thousands of 
applications running on all sorts of middleware in data centers around the globe. The very enterprise 
architects are likely the only ones who stand a chance to bring transparency into such an environment and 
who can direct IT investments in the hundreds of millions of Euros towards modernization and run-cost 
reduction. This sounds a lot more exciting and valuable than drawing pictures!"
c3b1deb2-53eb-11f1-bd43-c77e38e89e5a,0 - Enterprise Architecture Architecting the Enterprise.pdf,"who can direct IT investments in the hundreds of millions of Euros towards modernization and run-cost 
reduction. This sounds a lot more exciting and valuable than drawing pictures!
This session takes a serious but light-hearted look at the role of enterprise architects in modern IT 
organizations."
c3b1deb3-53eb-11f1-bd43-c77e38e89e5a,0 - Enterprise Architecture Architecting the Enterprise.pdf,"We just write
about software...

You have to go and 
debug it yourself!
The
Enterprise 
Architect’s
Office

Head of Enterprise Architecture
The
Enterprise 
Architect

The Purpose of 
Enterprise Architecture

1.Understand the business strategy
2.Translate into an IT strategy
3.Create transparency 
4.Define IT target picture 
5.Define a roadmap
6.Harmonize and govern
7.Obtain feedback and refine
8.Coach and mentor
The Role of Enterprise Architecture
Business Strategy
IT
“As Is”
IT
“To Be”
Roadmap
ITStrategy

1)Understand the business and its strategy
●Growth areas
●Profitability
●Geographic expansion
●Geopolital aspects
●Acquisitions and divestitures
Most business domains are much more interesting and 
exciting than it may seem, even insurance!
●Divisions / business lines
●Group level vs. divisions
●Reporting lines
●Matrix organization
●Hidden org chart / loyalties
“Architecting the business”“Reverse engineering the 
organization”"
c3b1deb4-53eb-11f1-bd43-c77e38e89e5a,0 - Enterprise Architecture Architecting the Enterprise.pdf,"1)Understand the Role of IT
Common
Strategy
Focus on 
Typical CIO 
Reporting line
Cost CenterAssetPartnerEnabler
Cost
Return on 
Investment
Business
Value
Speed & 
Innovation
CFOCOOCDOCEO
Outsource IT
Harmonize / 
Rationalize
Insource ITIT = business

Economies
of Scale

Economies
of Speed
Levers

Strategy is...
●...not reality
●...defining what you won’t do
●...not the vendor’s product road map 
“Better products at lower price” 
is not a strategy, but wishful thinking.
2) Translate Business Strategy into IT Strategy

2) Translate Business Strategy into IT Strategy

“Reality”
3) Create Transparency 

A good target picture is simple and convincing to a diverse audience.
4/5) Define the IT Target Picture & Roadmap

5) Define a roadmap

6) Harmonize and govern
●Publish common 
principles to be 
considered by 
projects
●Track projects 
through direct 
involvement
●Have a review  / 
decision 
●Ensure the review 
board brings value to 
projects
●Have an escalation 
path"
c3b1deb5-53eb-11f1-bd43-c77e38e89e5a,0 - Enterprise Architecture Architecting the Enterprise.pdf,"7) Obtain feedback and refine
@onek2go
●It won’t happen the 
way you planned.
●Stay connected to 
reality.
●You may not like what 
you see, but it’s a lot 
better than not 
knowing.
●There is no “7-step 
plan” for success. 
You must course 
correct.

●You’ll need support
●You won’t have 
enough people with 
the right skills
●You’ll learn a lot by 
helping other teams

●Teach new concepts 
and ways of working
●Publish technical 
strategy papers
●Establish qualification 
programs
8) Coach and mentor
“Harmonize your infrastructure you must”

Thinking like an 
Enterprise Architect
Connections
Abstractions
Decisions

Sometimes it just sticks on you..."
c3b1deb6-53eb-11f1-bd43-c77e38e89e5a,0 - Enterprise Architecture Architecting the Enterprise.pdf,"Sometimes it just sticks on you...

Enterprise Architecture? Just a matter of viewpoints!
1.Connections
a.With the governance processes => understand what your levers are
b.Across the architectural layers => strategy, business operating model, application, data, 
infrastructure. Here Ross comes handy for the highest level
c.People and company’s available knowledge => there is probably a lot around but siloed
2.Abstraction
a.Models
b.Each model needs to support multiple viewpoints: business and IT to assure we are talking 
about the same thing => enterprise ubiquitous language! Connection with DDD!
3.Decisions
a.'learn the art and put it apart' - italian expression. Frameworks are a mean not the goal
b.EA as GPS navigator (pics to support): evaluate implications on your models: cost of change 
is nothing
c.Validate the decisions across all layers using your connections: leave the tower to validate the 
decisions and collect feedback

Connections

Connections"
c3b1deb7-53eb-11f1-bd43-c77e38e89e5a,0 - Enterprise Architecture Architecting the Enterprise.pdf,"Connections

Connections

Connections between:
Strategy
Business
Applications
Data
Infrastructure
LayersSystems
AlignmentIntegration
Functions
Finance
Service 
Managemt
Risk Mgmt
Procure
ment
Enterprise
Architecture
Coordination
Project Ptf 
Mgmt

No one cares about your architecture...
But they do care about the properties 
your architecture gives the system!

Project Ptf MgmtFinanceService Mgmt
Risk Mgmt
Procurement
E.A

Strategy
Business
Applications
Data
Infra
Projects
PtfMgmt
CMDB
Operating model
Operating model

Enterprise Architecture is the Glue between Business 
Architecture and IT Architecture
Business
Architecture
IT
Architecture
Enterprise Architecture

Abstraction

Abstraction

Abstraction != dumbing down
Abstraction = bringing out the essence to make better decisions

To find the right representation, you need to know what 
question you are looking to answer.

An Enterprise Architecture Model

Decisions

Decisions"
c3b1deb8-53eb-11f1-bd43-c77e38e89e5a,0 - Enterprise Architecture Architecting the Enterprise.pdf,"To find the right representation, you need to know what 
question you are looking to answer.

An Enterprise Architecture Model

Decisions

Decisions

Focus on concrete problems to solve
●Focus on measurable outcomes
●Divide and Conquer
●Frameworks are a useful tool, but not the goal

Is this architecture?
Would you have paid an architect for this?

What about now?

Decision Discipline
“<x> Is a priority, 
so we chose design <y>
and accepted downside 
<z>.
We also did <*> to 
minimize it.”


Progressively build your enterprise view...accept fuzzy areas

Enterprise Architecture is not black magic. 
Much of it is common sense.
Most people get lost in the complexity and scope of it
or become enamored with frameworks.
There’s enormous demand for enterprise architects 
who achieve measurable results.

Thank You!
leanpub.com/37things/c/goto2017
@ghohpe
www.EnterpriseIntegrationPatterns.com
www.linkedin.com/in/ghohpe
40% Off

Remember to rate
this session!"
c5d497a0-53eb-11f1-bd43-c77e38e89e5a,0 - Final Assignment - Kevin Hobert.pdf,"Enterprise Architecture 
Final
Kevin Hobert
222-51-030

Business Canvas &
Value Proposition
01"
